EXP,PED,HYB,SRC,GROUP,Plot,REP,Range,Row,PDT,DTA,DTS,HDT,PHT,EHT,STC,RLD,SLD,MAH,TWT,GWT,YLD,MST,PROT,OIL,FIB,STA,ASH,DEN
ORG_YieldTrial2022,PHG39*PHZ51,ILORG0015,2019MOB_ORG,ORGOREI,1066,1,5,9,5/31/2022,61,64,10/20/2022,201,103,NA,0,1,20.3,52,13.3,120.6201639,7.88,6.88,3.52,2,68.02,1.05,1.25
ORG_YieldTrial2022,B73*PHG39-B-B-4-1-1-B-BxPH207*PHG47-B-B-4-1-1-B-B,UIUC99,2019MOB_CONV,NIFATOP20,1120,2,9,33,5/31/2022,61,65,10/20/2022,224,95,NA,0,0,20.9,51.4,13.23,120.4721065,7.58,8.22,4.25,1.53,66.68,1.17,1.28
ORG_YieldTrial2022,434/H51,MNT1,2020 Montigomery ,MONT,1127,2,9,19,5/31/2022,62,67,10/20/2022,175,74,NA,0,0,28.5,46.9,13.31,120.0672462,7.85,6.99,3.18,1.54,68.09,1.06,1.29
ORG_YieldTrial2022,B73*PHG39-B-B-55-1-1-B-BxLH82*PHG47-B-B-7-1-1-B-B,UIUC77,2019MOB_CONV,NIFATOP20,1016,1,2,35,5/31/2022,55,62,10/20/2022,166,70,NA,0,0,22.5,50.1,13.1,119.9081128,8.03,6.81,4.14,1.89,67.63,1.07,1.26
ORG_YieldTrial2022,PHG39*PHG47,ILORG0014,2019MOB_ORG,ORGOREI,1094,1,7,21,5/31/2022,62,66,10/20/2022,170,70,NA,0,1,21.6,51,13.18,119.88769,8.09,7.81,4,1.71,66.28,1.09,1.27
ORG_YieldTrial2022,LH82*PH207-B-B-1-1-1-B-B X PHG35*PHG47-B-B-10-1-1-B-B,UIUC372,2019MOB_CONV,NIFATOP19,1015,1,2,33,5/31/2022,52,57,10/20/2022,166,85,NA,0,0,14.5,58.4,13.83,119.8088068,7.77,7.06,3.94,1.7,67.18,1.12,1.27
ORG_YieldTrial2022,59R5,CHECK1,great harvest,Check,1079,1,6,25,5/31/2022,55,58,10/20/2022,190,79,NA,0,0,20.6,51.8,13.19,119.632405,8.02,6.3,3.47,1.72,68.74,1.01,1.27
ORG_YieldTrial2022,B73*PH207-B-B-12-1-1-B-B * PHG35*PHG47-B-B-28-1-1-B-B,UIUC500,19MOB_875 X 19MOB_687,NIFAVAL,1137,2,10,9,5/31/2022,59,63,10/20/2022,183,83,NA,0,0,20.2,52.1,13.16,119.2708605,7.66,6.63,3.28,1.6,68.57,1.02,1.29
ORG_YieldTrial2022,B73*PHG39-B-B-4-1-1-B-BxPH207*PHG47-B-B-4-1-1-B-B,UIUC99,2019MOB_CONV,NIFATOP20,1041,1,4,17,5/31/2022,58,63,10/20/2022,211,110,NA,0,0,20.5,51.8,13.13,119.2381942,8.02,6.56,4.25,1.77,68.06,1.08,1.27
ORG_YieldTrial2022,17.2B24,ORG4,2020 Mandaamin,MAN,1190,2,13,29,5/31/2022,58,63,10/20/2022,162,73,NA,0,0,25.1,48.1,12.94,119.2296621,8.64,7.2,5.85,2.81,65.47,1.18,1.16
ORG_YieldTrial2022,B73*PHG39-B-B-55-1-1-B-BxLH82*PHG47-B-B-7-1-1-B-B,UIUC77,2019MOB_CONV,NIFATOP20,1175,2,12,17,5/31/2022,52,62,10/20/2022,149,73,NA,0,0,21,51.3,13.08,119.1875151,8.56,6.33,4.47,2,67.41,1.04,1.24
ORG_YieldTrial2022,PHHB9*PHR63,ILORG0002,2019MOB_ORG,ORGOREI,1123,2,9,27,5/31/2022,61,64,10/20/2022,179,87,NA,0,0,27.4,47.6,13.17,118.8580876,7.22,6.73,3.78,1.82,68.19,1.08,1.27
ORG_YieldTrial2022,B73*LH82-B-B-10-1-1-B-B X B73*PHG47-B-B-10-1-1-B-B,UIUC241,2019MOB_CONV,NIFATOP19,1144,2,10,23,5/31/2022,62,67,10/20/2022,177,75,NA,0,0,23.4,49.6,12.9,117.8827066,7.93,6.73,4.16,1.64,67.51,1.07,1.28
ORG_YieldTrial2022,PHG35*PHG47-B-B-21-1-1-B-B * B73*PHG39-B-B-18-1-1-B-B,UIUC523,19MOB_334 X 19MOB_259,NIFAVAL,1037,1,4,9,5/31/2022,60,64,10/20/2022,188,95,NA,0,0,19.6,53,13.13,117.8577649,7.74,5.85,4.23,2.07,68.26,1.06,1.24
ORG_YieldTrial2022,PHG39*LH82,ILORG0017,2019MOB_ORG,ORGOREI,1195,2,13,19,5/31/2022,59,65,10/20/2022,173,75,NA,0,0,21.2,51.4,12.99,117.8380494,7.78,7.12,3.73,1.75,67.7,1.06,1.27
ORG_YieldTrial2022,B73*PHG35-B-B-31-1-1-B-BxPHG39*PHG47-B-B-9-1-1-B-B,UIUC371,2019MOB_CONV,NIFATOP20,1014,1,2,31,5/31/2022,61,65,10/20/2022,185,87,NA,0,0,20,51.8,12.84,117.3379635,7.72,6.02,4.55,2.55,68.26,1.11,1.19
ORG_YieldTrial2022,PHB47*PHZ51,PHB47*PHZ51,ILH1,HIP,1191,2,13,27,5/31/2022,61,64,10/20/2022,209,87,NA,0,0,19.6,52.3,12.8,116.4334122,8.22,6.84,4.1,2.15,67.3,1.04,1.23
ORG_YieldTrial2022,B73*PHG39-B-B-25-1-1-B-BxLH82*PH207-B-B-24-1-1-B-B,UIUC12,2019MOB_CONV,NIFATOP20,1091,1,7,27,5/31/2022,61,64,10/20/2022,198,99,NA,0,0,22.9,49.9,12.72,116.2931781,7.71,6.69,3.61,1.76,68.41,1.07,1.27
ORG_YieldTrial2022,B73*PHG39-B-B-16-1-1-B-B X PHG35*PHG47-B-B-1-1-1-B-B,UIUC107,2019MOB_CONV,NIFABOT19,1019,1,3,35,5/31/2022,58,62,10/20/2022,185,80,NA,0,0,21.2,51,12.69,116.0194918,7.9,6.7,4.02,1.94,67.6,1.06,1.25
ORG_YieldTrial2022,B73*PHG39-B-B-63-1-1-B-B * PHG35*PHG47-B-B-12-1-1-B-B,UIUC518,2020PR_175-1 X 19MOB_521,NIFAVAL,1157,2,11,27,5/31/2022,62,68,10/20/2022,172,79,NA,0,0,26.9,47.6,12.72,115.5874894,7.96,6.13,3.86,2.22,68.42,1.09,1.23
ORG_YieldTrial2022,B73*PHG39-B-B-3-1-1-B-B X PH207*PHG47-B-B-3-1-1-B-B,UIUC97,2019MOB_CONV,NIFABOT19,1149,2,10,33,5/31/2022,59,63,10/20/2022,196,83,NA,0,0,19.5,53,12.85,115.4878866,7.71,8.04,4.22,1.59,66.78,1.18,1.28
ORG_YieldTrial2022,B73*PHG39-B-B-18-1-1-B-BxLH82*PHG47-B-B-12-1-1-B-B,UIUC53,2019MOB_CONV,NIFATOP20,1073,1,6,13,5/31/2022,58,63,10/20/2022,176,95,NA,0,1,19.4,53.3,12.8,114.5331217,7.41,6.84,3.64,1.26,68.62,1.05,1.32
ORG_YieldTrial2022,B73*MO17,B73*MO17,ILH1,HIP,1134,2,9,5,5/31/2022,62,67,10/20/2022,195,97,NA,0,0,24.3,48.9,12.42,113.7684684,8.12,5.98,4,2.19,68.18,1.01,1.23
ORG_YieldTrial2022,B73*PHG39-B-B-16-1-1-B-B X PHG35*PHG47-B-B-1-1-1-B-B,UIUC107,2019MOB_CONV,NIFABOT19,1162,2,11,17,5/31/2022,62,65,10/20/2022,156,64,NA,0,0,20.5,51.7,12.48,113.5545306,8.09,6.53,3.89,1.88,67.84,1.07,1.26
ORG_YieldTrial2022,PHW52*LH185,ILORG0007,2019MOB_ORG,ORGOREI,1105,2,8,13,5/31/2022,61,66,10/20/2022,186,77,NA,0,0,25,48.9,12.49,113.3517261,7.96,6.57,3.72,1.95,68.09,1.04,1.25
ORG_YieldTrial2022,17.461,ORG1,2020 Mandaamin,MAN,1029,1,3,15,5/31/2022,54,59,10/20/2022,205,98,NA,0,0,19.7,52.5,12.42,112.4064243,8.18,7.97,5.47,2.59,65.47,1.2,1.18
ORG_YieldTrial2022,B73*PHG35-B-B-26-1-1-B-BxPHG39*PHG47-B-B-7-1-1-B-B,UIUC369,2019MOB_CONV,NIFATOP20,1178,2,12,23,5/31/2022,62,68,10/20/2022,190,95,NA,0,0,18.3,53.9,12.53,112.3822332,8.25,6.32,5.39,2.13,66.36,1.08,1.22
ORG_YieldTrial2022,PHHB9*PHZ51,ILORG0004,2019MOB_ORG,ORGOREI,1135,2,10,5,5/31/2022,61,64,10/20/2022,200,102,NA,0,0,21.1,51.3,12.32,112.1201426,7.73,6.25,3.93,2.14,68.46,1.11,1.23
ORG_YieldTrial2022,B73*PHG39-B-B-21-1-1-B-BxLH82*PHG35-B-B-15-1-1-B-B,UIUC31,2019MOB_CONV,NIFATOP20,1057,1,5,27,5/31/2022,63,69,10/20/2022,198,105,NA,0,0,29.5,46.8,12.54,111.7774238,7.945,6.8775,3.73,1.73,67.545,1.0375,1.2725
ORG_YieldTrial2022,LH82*PHG35-B-B-30-1-1-B-B * B73*PHG39-B-B-18-1-1-B-B,UIUC524,19MOB_334 X 19MOB_590,NIFAVAL,1038,1,4,11,5/31/2022,58,63,10/20/2022,176,89,NA,0,0,25.1,49,12.2,110.3465765,7.95,6.23,3.34,1.42,68.94,1.01,1.3
ORG_YieldTrial2022,B73*PHG35-B-B-26-1-1-B-BxPHG39*PHG47-B-B-7-1-1-B-B,UIUC369,2019MOB_CONV,NIFATOP20,1042,1,4,19,5/31/2022,61,65,10/20/2022,181,84,NA,0,1,16.7,55.7,12.43,109.9953258,8.55,6.49,4.7,2.2,66.8,1.06,1.23
ORG_YieldTrial2022,PHG35*PHG47-B-B-28-1-1-B-B * B73*PHG39-B-B-8-1-1-B-B,UIUC526,19MOB_333 X 19MOB_687,NIFAVAL,1173,2,12,13,5/31/2022,62,67,10/20/2022,165,73,NA,0,0,25.3,48.5,12.06,109.9105716,7.41,6.94,3.05,2,68.34,0.95,1.26
ORG_YieldTrial2022,B73*PHK76,B73*PHK76,ILH1,HIP,1006,1,2,15,5/31/2022,61,69,10/20/2022,173,105,NA,0,0,20.5,52,12.13,109.7331589,7.51,6.37,3.22,1.6,68.54,0.95,1.29
