PED,GEN,SRC,HYB,LOC,REP,STC,MST,GWT,TWT,YLD
LH82*PHG35-B-B-30-1-1-B-B X B73*PHG39-B-B-18-1-1-B-B,F1,UIUC,UIUC524,MRSE,3,68,22.6,25.07,55.7,204.1411
LH82*PHG35-B-B-30-1-1-B-B X B73*PHG39-B-B-18-1-1-B-B,F1,UIUC,UIUC524,MRSE,2,68,22.5,26.05,55.8,212.3951
LH82*PHG35-B-B-30-1-1-B-B X B73*PHG39-B-B-18-1-1-B-B,F1,UIUC,UIUC524,MRSE,1,67,26.4,25.69,52.2,198.9193
PHG35*PHG47-B-B-28-1-1-B-B X B73*PHG39-B-B-8-1-1-B-B,F1,UIUC,UIUC526,KYS02,1,53,18.2,21.76,56.7,187.261
PHG35*PHG47-B-B-28-1-1-B-B X B73*PHG39-B-B-8-1-1-B-B,F1,UIUC,UIUC526,KYS02,2,62,18.4,23.56,56,202.2556
PHG35*PHG47-B-B-28-1-1-B-B X B73*PHG39-B-B-8-1-1-B-B,F1,UIUC,UIUC526,CRL06,1,70,18.1,11.97,57.2,103.1367
PHG35*PHG47-B-B-28-1-1-B-B X B73*PHG39-B-B-8-1-1-B-B,F1,UIUC,UIUC526,CRL06,2,63,18.5,7.89,56,67.6503
PHG35*PHG47-B-B-28-1-1-B-B X B73*PHG39-B-B-8-1-1-B-B,F1,UIUC,UIUC526,BRKAb,1,56,21.1,21.5,55.7,178.464
PHG35*PHG47-B-B-28-1-1-B-B X B73*PHG39-B-B-8-1-1-B-B,F1,UIUC,UIUC526,BRKAb,2,45,20.2,21.33,56.1,179.0725
PHG35*PHG47-B-B-28-1-1-B-B X B73*PHG39-B-B-8-1-1-B-B,F1,UIUC,UIUC526,CRW14,2,70,18.6,23.47,58.3,200.9891
PHG35*PHG47-B-B-28-1-1-B-B X B73*PHG39-B-B-8-1-1-B-B,F1,UIUC,UIUC526,CRW14,1,70,18.7,23.24,58.5,198.775
PHG35*PHG47-B-B-28-1-1-B-B X B73*PHG39-B-B-8-1-1-B-B,F1,UIUC,UIUC526,MRSE,2,62,24.9,29.3,52.5,231.4955
PHG35*PHG47-B-B-28-1-1-B-B X B73*PHG39-B-B-8-1-1-B-B,F1,UIUC,UIUC526,MRSE,3,60,26.6,21.71,52,167.6451
PHG35*PHG47-B-B-9-1-1-B-B X B73*PH207-B-B-20-1-1-B-B,F1,UIUC,UIUC539,KYS02,2,65,19.7,22.85,52.6,193.0353
PHG35*PHG47-B-B-9-1-1-B-B X B73*PH207-B-B-20-1-1-B-B,F1,UIUC,UIUC539,KYS02,1,57,20,23.7,53.1,199.4681
PHG35*PHG47-B-B-9-1-1-B-B X B73*PH207-B-B-20-1-1-B-B,F1,UIUC,UIUC539,CRL06,2,73,20.3,19.55,53.8,163.9231
PHG35*PHG47-B-B-9-1-1-B-B X B73*PH207-B-B-20-1-1-B-B,F1,UIUC,UIUC539,CRL06,1,75,18.9,16.14,53.4,137.7081
PHG35*PHG47-B-B-9-1-1-B-B X B73*PH207-B-B-20-1-1-B-B,F1,UIUC,UIUC539,BRKAb,2,68,22,23.7,51.5,194.4814
PHG35*PHG47-B-B-9-1-1-B-B X B73*PH207-B-B-20-1-1-B-B,F1,UIUC,UIUC539,BRKAb,1,70,23.4,18.61,51.5,149.972
PHG35*PHG47-B-B-9-1-1-B-B X B73*PH207-B-B-20-1-1-B-B,F1,UIUC,UIUC539,CRW14,1,63,17.9,14.14,56.9,122.1315
PHG35*PHG47-B-B-9-1-1-B-B X B73*PH207-B-B-20-1-1-B-B,F1,UIUC,UIUC539,CRW14,2,69,18.1,15.64,56.6,134.7584
PHG35*PHG47-B-B-9-1-1-B-B X B73*PH207-B-B-20-1-1-B-B,F1,UIUC,UIUC539,MRSE,3,64,22.2,29.97,52.6,245.3022
PHG35*PHG47-B-B-9-1-1-B-B X B73*PH207-B-B-20-1-1-B-B,F1,UIUC,UIUC539,MRSE,2,63,23.8,24.98,50.9,200.2546
PHG35*PHG47-B-B-9-1-1-B-B X B73*PH207-B-B-20-1-1-B-B,F1,UIUC,UIUC539,MRSE,1,65,24.6,24.63,49.8,195.3758
B73*PHG39-B-B-63-1-1-B-B X PHG35*PHG47-B-B-12-1-1-B-B,F1,UIUC,UIUC518,KYS02,1,64,15,26.75,55.3,239.2092
B73*PHG39-B-B-63-1-1-B-B X PHG35*PHG47-B-B-12-1-1-B-B,F1,UIUC,UIUC518,KYS02,2,63,16.2,23.08,56.3,203.4768
B73*PHG39-B-B-63-1-1-B-B X PHG35*PHG47-B-B-12-1-1-B-B,F1,UIUC,UIUC518,CRL06,1,73,16.5,6.99,54.8,61.4043
