LOC,HYB,BLUP
CRW14,ISU066,167.7938503
CRW14,ISU067,169.8337143
CRW14,ISU068,171.0736664
CRW14,ISU069,165.1129059
CRW14,ISU070,158.809826
CRW14,ISU071,159.9951696
CRW14,ISU072,154.6906693
CRW14,ISU073,165.3575235
CRW14,ISU074,164.8494431
CRW14,ISU075,166.9516734
CRW14,ISU076,157.2328929
CRW14,ISU077,164.584653
CRW14,ISU078,172.8013372
CRW14,ISU079,168.6273026
CRW14,ISU081,165.2761144
CRW14,ISU082,170.2424848
CRW14,ISU083,172.6628281
CRW14,UIUC500,175.1407183
CRW14,UIUC502,185.6572663
CRW14,UIUC515,167.0208204
CRW14,UIUC518,173.5344776
CRW14,UIUC523,178.8751067
CRW14,UIUC524,168.2958961
CRW14,UIUC526,185.9074514
CRW14,UIUC539,152.5896757
KYS02,CHECK1,167.903213
KYS02,CHECK2,167.7649715
KYS02,ISU001,164.7267614
KYS02,ISU002,157.4217127
KYS02,ISU003,165.5015066
KYS02,ISU004,161.178925
KYS02,ISU005,167.6256188
KYS02,ISU006,173.4814466
KYS02,ISU007,171.6404946
KYS02,ISU008,167.790959
KYS02,ISU009,163.0589501
KYS02,ISU010,160.3938637
KYS02,ISU011,162.7264778
KYS02,ISU012,159.0699559
KYS02,ISU013,161.0226427
KYS02,ISU014,164.4131672
KYS02,ISU015,159.8482686
KYS02,ISU016,161.1774015
KYS02,ISU017,170.664722
KYS02,ISU018,158.3961173
KYS02,ISU019,162.6051777
KYS02,ISU020,170.402124
KYS02,ISU021,176.6723392
KYS02,ISU022,159.8545405
KYS02,ISU023,160.3980691
KYS02,ISU024,159.1402122
KYS02,ISU025,170.6297165
KYS02,ISU026,161.2971169
KYS02,ISU027,164.8516387
KYS02,ISU028,167.0313251
KYS02,ISU029,161.9554868
KYS02,ISU030,162.8173017
KYS02,ISU031,170.1629536
KYS02,ISU032,162.9240579
KYS02,ISU033,172.9297127
KYS02,ISU034,162.5282342
KYS02,ISU035,171.5207083
KYS02,ISU036,168.6763495
KYS02,ISU037,171.977507
KYS02,ISU038,172.5112583
KYS02,ISU039,177.3097146
KYS02,ISU040,165.6866418
KYS02,ISU041,174.5038641
KYS02,ISU042,162.6270943
